SalesQuotaKey,EmployeeKey,DateKey,First Name,Last Name,Full Name,Gender,CalendarYear,CalendarQuarter,SalesAmountQuota
83,281,20220928,Michael,Blythe,Michael Blythe,Male,2022,3,1194000.00
84,282,20220928,Linda,Mitchell,Linda Mitchell,Female,2022,3,1021000.00
85,283,20220928,Jillian,Carson,Jillian Carson,Female,2022,3,1369000.00
86,284,20220928,Garrett,Vargas,Garrett Vargas,Male,2022,3,418000.00
87,285,20220928,Tsvi,Reiter,Tsvi Reiter,Male,2022,3,572000.00
88,286,20220928,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Female,2022,3,224000.00
89,287,20220928,Shu,Ito,Shu Ito,Male,2022,3,555000.00
90,288,20220928,José,Saraiva,José Saraiva,Male,2022,3,247000.00
91,289,20220928,David,Campbell,David Campbell,Male,2022,3,284000.00
92,290,20220928,Amy,Alberts,Amy Alberts,Female,2022,3,110000.00
93,291,20220928,Jae,Pak,Jae Pak,Female,2022,3,1279000.00
94,292,20220928,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Male,2022,3,404000.00
95,293,20220928,Tete,Mensa-Annan,Tete Mensa-Annan,Male,2022,3,304000.00
96,272,20221228,Stephen,Jiang,Stephen Jiang,Male,2022,4,263000.00
97,281,20221228,Michael,Blythe,Michael Blythe,Male,2022,4,1575000.00
98,282,20221228,Linda,Mitchell,Linda Mitchell,Female,2022,4,1525000.00
99,283,20221228,Jillian,Carson,Jillian Carson,Female,2022,4,1171000.00
100,284,20221228,Garrett,Vargas,Garrett Vargas,Male,2022,4,507000.00
101,285,20221228,Tsvi,Reiter,Tsvi Reiter,Male,2022,4,950000.00
102,286,20221228,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Female,2022,4,319000.00
103,287,20221228,Shu,Ito,Shu Ito,Male,2022,4,935000.00
104,288,20221228,José,Saraiva,José Saraiva,Male,2022,4,1051000.00
105,289,20221228,David,Campbell,David Campbell,Male,2022,4,631000.00
106,290,20221228,Amy,Alberts,Amy Alberts,Female,2022,4,184000.00
107,291,20221228,Jae,Pak,Jae Pak,Female,2022,4,1506000.00
108,292,20221228,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Male,2022,4,1262000.00
109,293,20221228,Tete,Mensa-Annan,Tete Mensa-Annan,Male,2022,4,516000.00
110,294,20221228,Syed,Abbas,Syed Abbas,Male,2022,4,132000.00
111,295,20221228,Rachel,Valdez,Rachel Valdez,Female,2022,4,728000.00
112,296,20221228,Lynn,Tsoflias,Lynn Tsoflias,Female,2022,4,478000.00
113,272,20230330,Stephen,Jiang,Stephen Jiang,Male,2023,1,116000.00
114,281,20230330,Michael,Blythe,Michael Blythe,Male,2023,1,1218000.00
115,282,20230330,Linda,Mitchell,Linda Mitchell,Female,2023,1,1276000.00
116,283,20230330,Jillian,Carson,Jillian Carson,Female,2023,1,971000.00
117,284,20230330,Garrett,Vargas,Garrett Vargas,Male,2023,1,453000.00
118,285,20230330,Tsvi,Reiter,Tsvi Reiter,Male,2023,1,675000.00
119,286,20230330,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Female,2023,1,450000.00
120,287,20230330,Shu,Ito,Shu Ito,Male,2023,1,684000.00
121,288,20230330,José,Saraiva,José Saraiva,Male,2023,1,707000.00
122,289,20230330,David,Campbell,David Campbell,Male,2023,1,372000.00
123,290,20230330,Amy,Alberts,Amy Alberts,Female,2023,1,324000.00
124,291,20230330,Jae,Pak,Jae Pak,Female,2023,1,1419000.00
125,292,20230330,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Male,2023,1,1057000.00
126,293,20230330,Tete,Mensa-Annan,Tete Mensa-Annan,Male,2023,1,380000.00
127,294,20230330,Syed,Abbas,Syed Abbas,Male,2023,1,40000.00
128,295,20230330,Rachel,Valdez,Rachel Valdez,Female,2023,1,566000.00
129,296,20230330,Lynn,Tsoflias,Lynn Tsoflias,Female,2023,1,389000.00
130,272,20230630,Stephen,Jiang,Stephen Jiang,Male,2023,2,84000.00
131,281,20230630,Michael,Blythe,Michael Blythe,Male,2023,2,849000.00
132,282,20230630,Linda,Mitchell,Linda Mitchell,Female,2023,2,894000.00
133,283,20230630,Jillian,Carson,Jillian Carson,Female,2023,2,714000.00
134,284,20230630,Garrett,Vargas,Garrett Vargas,Male,2023,2,280000.00
135,285,20230630,Tsvi,Reiter,Tsvi Reiter,Male,2023,2,538000.00
136,286,20230630,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Female,2023,2,343000.00
137,287,20230630,Shu,Ito,Shu Ito,Male,2023,2,614000.00
138,288,20230630,José,Saraiva,José Saraiva,Male,2023,2,569000.00
139,289,20230630,David,Campbell,David Campbell,Male,2023,2,234000.00
140,290,20230630,Amy,Alberts,Amy Alberts,Female,2023,2,116000.00
141,291,20230630,Jae,Pak,Jae Pak,Female,2023,2,883000.00
142,292,20230630,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Male,2023,2,707000.00
143,293,20230630,Tete,Mensa-Annan,Tete Mensa-Annan,Male,2023,2,454000.00
144,294,20230630,Syed,Abbas,Syed Abbas,Male,2023,2,7000.00
145,295,20230630,Rachel,Valdez,Rachel Valdez,Female,2023,2,366000.00
146,296,20230630,Lynn,Tsoflias,Lynn Tsoflias,Female,2023,2,399000.00
147,272,20230929,Stephen,Jiang,Stephen Jiang,Male,2023,3,187000.00
148,281,20230929,Michael,Blythe,Michael Blythe,Male,2023,3,869000.00
149,282,20230929,Linda,Mitchell,Linda Mitchell,Female,2023,3,1124000.00
150,283,20230929,Jillian,Carson,Jillian Carson,Female,2023,3,947000.00
151,284,20230929,Garrett,Vargas,Garrett Vargas,Male,2023,3,390000.00
152,285,20230929,Tsvi,Reiter,Tsvi Reiter,Male,2023,3,686000.00
153,286,20230929,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Female,2023,3,390000.00
154,287,20230929,Shu,Ito,Shu Ito,Male,2023,3,724000.00
155,288,20230929,José,Saraiva,José Saraiva,Male,2023,3,830000.00
156,289,20230929,David,Campbell,David Campbell,Male,2023,3,403000.00
157,290,20230929,Amy,Alberts,Amy Alberts,Female,2023,3,1000.00
158,291,20230929,Jae,Pak,Jae Pak,Female,2023,3,1329000.00
159,292,20230929,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Male,2023,3,908000.00
160,293,20230929,Tete,Mensa-Annan,Tete Mensa-Annan,Male,2023,3,497000.00
161,294,20230929,Syed,Abbas,Syed Abbas,Male,2023,3,26000.00
162,295,20230929,Rachel,Valdez,Rachel Valdez,Female,2023,3,627000.00
163,296,20230929,Lynn,Tsoflias,Lynn Tsoflias,Female,2023,3,421000.00
